,year,location,total_house,total_house_male,total_house_female,total_people,total_people_male,total_people_female,total_people_below12,total_people_below12_male,total_people_below12_female,total_people_between12_17,total_people_between12_17_male,total_people_between12_17_female,total_people_between18_64,total_people_between18_64_male,total_people_between18_64_female,total_people_over65,total_people_over65_male,total_people_over65_female
32,2016,苗栗縣,1353.0,746.0,607.0,4241.0,2093.0,2148.0,730.0,386.0,344.0,804.0,427.0,377.0,2585.0,1206.0,1379.0,122.0,74.0,48.0
33,2016,彰化縣,16182.0,10662.0,5520.0,50992.0,25884.0,25108.0,11620.0,6024.0,5596.0,8581.0,4357.0,4224.0,30184.0,15125.0,15059.0,607.0,378.0,229.0
34,2016,南投縣,5347.0,3163.0,2184.0,18035.0,8993.0,9042.0,3700.0,1916.0,1784.0,3571.0,1803.0,1768.0,10476.0,5106.0,5370.0,288.0,168.0,120.0
35,2016,雲林縣,2138.0,1478.0,660.0,6906.0,3478.0,3428.0,1281.0,653.0,628.0,1338.0,705.0,633.0,4141.0,2044.0,2097.0,146.0,76.0,70.0
36,2016,嘉義縣,3447.0,2416.0,1031.0,10874.0,5773.0,5101.0,2408.0,1242.0,1166.0,2598.0,1258.0,1340.0,5804.0,3233.0,2571.0,64.0,40.0,24.0
37,2016,屏東縣,14189.0,8804.0,5385.0,38533.0,20831.0,17702.0,10127.0,5258.0,4869.0,8331.0,4296.0,4035.0,19735.0,11070.0,8665.0,340.0,207.0,133.0
38,2016,臺東縣,2162.0,1177.0,985.0,6127.0,3147.0,2980.0,1242.0,677.0,565.0,1006.0,550.0,456.0,3735.0,1828.0,1907.0,144.0,92.0,52.0
39,2016,花蓮縣,1640.0,969.0,671.0,3997.0,2158.0,1839.0,1032.0,551.0,481.0,847.0,453.0,394.0,1980.0,1067.0,913.0,138.0,87.0,51.0
40,2016,澎湖縣,526.0,373.0,153.0,1670.0,848.0,822.0,277.0,154.0,123.0,352.0,185.0,167.0,1024.0,496.0,528.0,17.0,13.0,4.0
41,2016,基隆市,1331.0,712.0,619.0,4423.0,2118.0,2305.0,722.0,352.0,370.0,673.0,351.0,322.0,2845.0,1320.0,1525.0,183.0,95.0,88.0
