,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y,總計
45,92年 6月,臺北市,1637,222,13,17,0,125,192,14,6,3,53,4,45,14,0,5,2,0,50,2,54,44,99,96,0,0,11,3,0,16,38,0,1,13,0,2,0,0,0,27,2,29,459,0,10,1,0,0,0,0,0,0,0,6,0,0,18,0,0,2,15,61,91,3502
46,92年 7月,臺北市,1338,164,3,23,2,120,198,15,10,3,61,5,99,11,0,1,6,0,13,0,47,44,66,107,0,0,14,2,0,21,12,0,2,4,1,0,0,0,0,18,0,51,402,0,11,0,0,1,0,0,0,0,0,4,0,0,16,0,1,0,15,57,89,3057
47,92年 8月,臺北市,1747,213,10,18,0,131,151,17,7,5,53,5,90,15,1,3,3,0,44,0,47,52,65,81,1,0,13,9,0,7,8,0,1,4,1,0,2,0,0,15,0,24,605,0,8,2,0,2,2,0,0,0,1,2,0,0,13,0,0,0,13,43,78,3612
48,92年 9月,臺北市,2218,264,14,11,0,111,114,20,6,2,70,4,53,12,0,3,7,0,25,0,48,52,70,112,0,0,13,3,0,11,15,0,0,4,1,0,0,0,0,15,0,15,470,0,12,0,0,2,3,0,0,0,1,5,0,0,13,0,0,0,18,41,66,3924
49,92年 10月,臺北市,1427,182,10,6,0,114,139,24,3,3,68,9,89,10,0,0,3,1,57,3,51,55,92,104,1,0,8,5,0,15,13,0,6,5,2,0,0,0,0,16,0,17,471,0,5,1,0,1,1,0,0,0,1,5,0,1,27,0,0,0,23,37,68,3179
50,92年 11月,臺北市,1278,164,9,9,0,102,130,21,1,1,63,4,81,5,1,3,4,1,42,0,56,51,99,76,4,0,14,3,0,14,24,0,2,5,2,0,0,0,0,11,0,22,486,0,11,0,0,1,0,1,0,0,0,11,0,0,14,0,1,0,12,20,82,2941
51,92年 12月,臺北市,1609,256,8,7,2,85,166,22,6,2,110,7,58,5,0,1,6,0,90,2,48,41,87,88,3,0,15,7,0,24,26,0,6,13,1,0,0,0,1,13,0,26,396,0,7,0,0,3,2,0,1,0,0,8,0,0,17,0,0,0,16,24,80,3395
53,93年 1月,臺北市,1645,251,8,9,0,68,85,7,4,2,62,7,70,14,0,1,4,0,19,0,37,48,163,148,5,0,7,4,0,18,48,0,0,3,1,0,0,0,0,20,0,10,441,0,13,1,0,1,0,0,0,0,3,6,0,0,17,0,0,0,18,30,124,3422
54,93年 2月,臺北市,1507,206,13,18,1,85,133,7,5,4,75,3,85,8,0,1,5,2,30,4,37,51,109,91,3,0,10,4,0,18,15,0,0,8,0,0,1,0,0,27,0,30,541,0,7,8,0,1,1,0,0,0,4,5,0,0,16,0,0,0,20,70,150,3419
55,93年 3月,臺北市,1265,195,8,7,0,77,150,15,4,1,86,4,78,7,2,0,3,0,24,0,47,54,95,115,0,0,18,4,0,11,21,0,19,6,4,2,4,0,0,18,0,24,489,0,12,0,1,0,0,0,0,0,8,5,0,0,19,0,1,0,13,21,118,3055
