,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y,總計
1,89年 1月,南投縣,179,73,0,9,1,33,1,6,5,0,6,4,1,2,0,1,1,0,2,0,0,3,52,154,0,0,3,1,0,4,1,0,0,1,0,0,0,0,1,5,0,0,24,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,9,2,10,599
2,89年 2月,南投縣,133,51,0,9,0,24,3,2,1,0,2,0,0,0,0,1,2,0,1,0,2,2,48,143,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,23,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,20,493
3,89年 3月,南投縣,135,92,0,8,0,31,3,5,3,0,11,1,1,2,0,0,1,0,0,0,1,4,35,61,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,14,454
4,89年 4月,南投縣,173,87,1,7,0,29,1,2,3,0,7,0,0,2,0,1,3,0,1,0,0,4,44,68,0,0,5,0,0,3,3,0,1,1,0,0,0,0,2,1,0,0,26,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,8,493
5,89年 5月,南投縣,202,101,2,3,0,31,7,2,2,0,9,0,1,1,0,0,0,0,5,0,4,4,49,118,0,0,8,0,0,4,2,0,0,16,0,0,0,0,0,2,0,0,21,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,16,622
6,89年 6月,南投縣,145,75,1,2,2,35,2,4,1,1,4,0,0,3,0,2,0,0,3,0,1,3,40,114,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11,491
7,89年 7月,南投縣,202,88,2,2,0,30,1,7,2,0,5,4,2,3,0,1,1,0,3,0,1,2,40,72,0,0,7,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,539
8,89年 8月,南投縣,175,70,1,8,2,38,1,6,1,0,7,4,6,6,0,1,0,0,0,0,4,6,55,70,0,0,5,1,0,6,0,0,1,1,0,0,0,0,0,4,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,27,552
9,89年 9月,南投縣,163,58,0,7,0,36,8,2,1,0,4,2,2,0,0,0,0,0,2,0,3,2,34,82,0,0,1,3,0,2,5,0,0,0,0,0,0,0,0,3,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,18,469
10,89年 10月,南投縣,150,61,0,6,0,42,7,4,2,0,3,4,0,1,0,1,2,0,20,0,2,5,55,84,0,0,2,0,0,4,14,0,0,0,0,0,0,0,4,1,0,0,25,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,12,523
11,89年 11月,南投縣,164,76,0,4,0,34,7,8,0,0,2,3,0,1,1,1,1,0,3,0,2,5,50,66,0,0,6,0,0,3,6,0,1,1,0,0,0,0,2,6,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,23,509
12,89年 12月,南投縣,145,79,2,5,0,39,3,10,2,0,8,1,0,2,0,1,3,0,1,0,1,4,39,50,0,0,7,0,0,4,2,0,0,0,2,0,0,0,0,8,0,1,29,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,17,482
14,90年 1月,南投縣,293,91,1,10,1,29,4,3,4,0,5,1,0,0,0,3,0,0,3,1,1,8,60,70,0,0,4,0,0,7,9,0,0,1,0,0,0,0,0,8,1,0,50,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,2,8,692
15,90年 2月,南投縣,166,57,2,9,0,33,5,5,1,0,7,0,0,0,0,0,0,0,4,0,3,1,38,34,0,0,5,1,0,4,6,0,0,2,0,0,0,0,0,2,0,0,34,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,13,448
16,90年 3月,南投縣,211,73,2,4,0,21,3,1,2,0,4,1,0,5,0,1,2,0,6,0,3,1,39,36,0,0,7,1,0,7,7,0,0,1,0,0,0,0,1,4,0,0,54,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,6,0,10,519
17,90年 4月,南投縣,184,89,0,0,1,26,2,1,2,0,12,2,0,1,0,2,2,0,4,0,3,5,46,42,0,0,6,2,0,0,14,0,0,2,0,0,0,0,0,11,0,1,27,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,2,12,511
18,90年 5月,南投縣,208,85,2,1,0,46,7,3,2,0,6,1,3,4,0,2,2,0,4,0,4,4,54,62,0,0,7,1,0,7,4,0,0,0,0,0,0,0,0,0,0,1,36,0,1,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,8,572
19,90年 6月,南投縣,209,112,1,2,0,34,2,0,2,0,5,1,2,4,0,1,0,0,2,0,4,3,46,47,0,0,9,3,0,5,1,0,0,2,0,0,0,0,0,4,0,0,47,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,8,3,8,573
20,90年 7月,南投縣,190,89,0,0,0,10,3,2,2,1,4,1,4,2,0,0,1,0,0,0,1,4,44,33,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,38,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,5,30,20,500
21,90年 8月,南投縣,186,79,1,3,0,20,6,0,1,0,8,2,17,2,1,2,2,0,1,0,2,4,53,24,0,0,1,1,0,5,17,0,1,0,0,0,0,0,0,3,0,0,38,0,0,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,48,21,567
22,90年 9月,南投縣,214,90,0,3,0,29,4,3,0,0,5,2,3,2,0,0,2,0,4,0,4,8,57,10,0,0,3,0,0,4,3,0,0,2,0,0,0,0,2,4,0,0,37,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,16,13,531
23,90年 10月,南投縣,258,98,1,5,0,24,3,5,1,0,11,1,2,1,0,2,1,0,2,0,1,5,44,21,0,0,9,2,0,2,31,0,0,1,0,0,0,0,0,4,0,0,45,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,15,660
24,90年 11月,南投縣,190,114,1,1,0,23,6,8,1,0,10,2,44,7,0,3,2,0,5,0,0,5,37,13,0,0,4,0,0,3,2,0,0,4,0,2,0,0,0,4,0,0,63,0,0,7,11,0,0,0,0,0,0,2,0,0,1,0,0,0,8,47,30,660
25,90年 12月,南投縣,165,65,2,2,0,24,4,5,3,1,15,2,3,4,0,1,1,0,2,0,4,4,31,11,0,0,5,0,0,9,3,0,1,0,0,1,0,0,0,1,0,1,47,0,1,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,4,21,23,477
27,91年 1月,南投縣,152,75,1,1,0,24,1,2,4,0,9,0,0,3,0,1,2,0,3,0,3,5,18,4,0,0,4,0,0,6,5,0,0,0,0,0,0,0,0,2,1,0,48,0,2,2,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,7,413
28,91年 2月,南投縣,318,103,2,3,0,33,3,3,3,0,6,3,1,1,0,1,2,0,8,0,2,2,55,24,0,0,3,1,0,10,7,0,0,0,0,0,0,0,0,11,0,0,44,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,26,716
29,91年 3月,南投縣,152,82,1,4,0,33,6,6,3,0,12,2,3,1,1,2,0,0,3,0,5,2,31,5,0,0,8,1,0,6,1,0,0,0,0,0,0,0,0,13,0,1,45,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,16,25,476
30,91年 4月,南投縣,208,61,1,5,0,32,10,6,3,1,13,1,1,1,1,1,0,0,3,0,3,4,48,13,0,0,5,1,0,6,5,0,2,0,0,0,0,0,0,1,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,9,29,532
31,91年 5月,南投縣,182,83,1,2,0,44,6,5,2,1,8,1,1,6,0,2,2,0,16,2,4,6,60,10,0,0,3,2,0,8,6,0,0,0,0,0,0,0,1,7,0,0,32,0,1,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,5,6,19,541
32,91年 6月,南投縣,215,83,0,2,0,29,6,4,1,0,10,1,8,3,1,0,1,0,7,0,3,1,55,18,1,0,5,0,0,9,8,0,0,2,0,1,0,0,1,2,0,0,43,0,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,22,592
33,91年 7月,南投縣,265,90,1,1,0,43,9,7,6,0,10,2,18,5,1,3,2,2,8,0,2,5,58,15,1,0,6,3,0,8,17,0,0,0,0,0,0,0,0,3,0,0,50,0,1,0,31,0,1,1,0,0,0,0,0,0,2,0,0,0,6,6,21,710
34,91年 8月,南投縣,250,60,2,1,1,33,4,6,3,0,5,2,9,2,0,6,1,0,21,0,3,3,49,3,0,0,5,2,0,10,11,0,0,0,0,0,0,0,0,6,0,0,39,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,4,6,23,575
35,91年 9月,南投縣,238,68,0,2,0,40,8,2,0,1,11,2,1,1,0,0,0,0,8,0,2,5,42,13,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,60,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,3,3,22,555
36,91年 10月,南投縣,302,63,2,1,0,44,7,8,3,1,13,2,0,8,0,1,0,1,8,1,2,7,46,9,0,0,8,1,0,13,5,0,0,0,0,0,0,0,0,2,0,0,49,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,4,6,22,644
37,91年 11月,南投縣,273,45,2,2,0,36,2,5,2,0,8,1,2,6,0,3,2,0,4,1,3,6,45,6,0,0,7,0,0,11,6,0,0,2,0,0,0,0,0,4,0,0,48,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,2,33,577
38,91年 12月,南投縣,201,50,0,3,0,32,2,8,0,0,14,1,2,3,0,2,0,0,26,0,4,5,60,17,0,0,2,0,0,3,2,0,3,2,0,0,0,0,0,2,0,0,55,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,7,28,543
40,92年 1月,南投縣,303,61,0,1,1,27,11,3,1,0,7,0,6,3,0,0,0,0,26,2,4,8,76,20,0,0,6,1,0,20,5,0,0,0,0,0,0,0,0,11,0,1,75,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,7,0,21,712
41,92年 2月,南投縣,254,65,1,12,0,37,7,4,3,0,12,0,1,6,1,1,0,0,11,0,4,9,33,6,0,0,12,1,0,6,8,0,0,3,0,0,0,0,0,11,0,1,70,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,17,604
42,92年 3月,南投縣,214,60,1,3,0,19,6,1,1,0,4,3,0,4,0,2,0,0,5,0,2,4,42,10,0,0,2,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,45,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,1,25,476
43,92年 4月,南投縣,304,64,0,3,0,15,8,6,1,0,7,1,0,6,0,0,0,0,9,0,4,3,68,11,1,0,4,0,0,8,20,0,0,2,0,0,0,0,0,8,0,0,48,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,7,3,12,628
44,92年 5月,南投縣,288,67,3,8,0,31,8,3,5,0,15,3,1,6,0,4,2,0,6,0,4,12,70,7,0,0,8,1,0,3,2,0,0,4,0,0,0,0,1,0,0,1,46,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,3,30,648
45,92年 6月,南投縣,235,69,1,1,0,24,13,2,4,0,14,0,0,2,0,2,0,1,14,0,0,4,30,6,0,0,5,1,0,7,17,0,0,4,0,0,0,0,0,0,0,0,40,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,2,0,14,520
46,92年 7月,南投縣,161,67,2,2,0,34,3,3,0,0,9,2,11,4,0,0,0,0,3,0,2,9,51,12,0,0,5,0,0,4,3,0,0,4,0,0,0,0,0,3,0,0,52,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,24,479
47,92年 8月,南投縣,238,46,1,2,0,28,0,6,1,1,6,1,11,8,0,1,1,0,8,0,1,4,46,8,0,0,3,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,64,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,9,514
48,92年 9月,南投縣,153,53,1,1,0,40,11,3,1,0,6,0,1,5,0,3,2,0,3,0,4,2,36,9,0,0,6,1,0,6,4,0,0,3,0,0,0,0,0,0,0,1,48,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,11,424
49,92年 10月,南投縣,195,56,1,3,1,23,5,2,2,0,10,0,0,2,1,0,1,0,13,0,3,5,60,5,0,0,1,0,0,3,5,0,1,1,0,1,0,0,0,1,0,0,60,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,5,8,37,516
50,92年 11月,南投縣,177,47,1,2,0,23,24,3,0,1,11,4,0,2,0,1,0,1,6,0,6,2,40,6,0,0,2,0,0,5,1,0,1,0,0,0,0,0,0,1,0,0,72,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,2,38,495
51,92年 12月,南投縣,229,42,1,1,2,26,22,3,4,0,7,4,0,3,0,2,0,0,3,0,2,4,47,7,0,0,3,1,0,2,3,0,0,2,0,0,0,0,0,2,0,3,61,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,6,7,13,517
53,93年 1月,南投縣,207,59,2,7,2,15,30,3,1,0,6,2,0,4,0,3,1,0,6,0,3,4,69,9,0,0,2,0,0,3,0,0,2,1,0,0,0,0,0,4,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,526
54,93年 2月,南投縣,177,59,0,4,1,14,16,0,2,0,6,0,1,0,0,0,2,0,2,0,0,8,56,11,0,0,5,4,0,2,4,0,1,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,12,467
55,93年 3月,南投縣,250,82,0,20,0,23,36,3,2,0,14,0,1,1,0,0,0,0,5,0,0,7,54,18,0,0,3,1,0,0,15,0,1,2,1,0,0,0,0,3,0,0,45,0,1,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,10,12,18,641
56,93年 4月,南投縣,247,49,0,1,0,11,21,2,0,0,8,1,0,3,0,0,1,0,2,0,1,1,44,9,0,0,2,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,12,487
57,93年 5月,南投縣,194,93,5,1,1,24,30,3,0,0,9,2,9,4,2,1,2,0,26,0,2,5,81,16,0,0,1,2,0,17,18,0,2,0,0,0,0,0,1,3,0,1,65,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,10,29,25,689
58,93年 6月,南投縣,216,51,1,1,0,13,40,2,1,0,8,1,2,2,0,6,0,0,1,0,0,4,67,9,0,0,1,2,0,2,9,0,1,2,0,1,0,0,1,2,0,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,12,12,526
59,93年 7月,南投縣,168,54,1,0,1,19,8,1,3,0,8,0,11,4,0,0,3,1,2,2,4,5,97,9,0,0,4,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,7,12,13,528
60,93年 8月,南投縣,183,50,4,2,0,18,7,2,2,0,10,0,8,2,0,0,0,2,0,0,5,4,80,13,0,0,5,2,0,9,8,0,1,2,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,16,18,533
61,93年 9月,南投縣,281,63,1,4,0,22,11,3,1,1,11,0,1,5,0,1,1,0,15,0,6,3,112,25,2,0,7,0,0,1,5,0,4,2,1,0,0,0,1,1,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,15,36,726
62,93年 10月,南投縣,184,61,1,2,0,16,14,3,2,0,8,0,3,3,0,0,0,0,17,2,3,8,70,21,0,0,3,5,0,27,9,0,0,1,0,0,0,0,0,5,0,0,94,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,12,22,603
63,93年 11月,南投縣,276,57,1,1,0,21,17,1,1,0,12,1,1,7,0,1,0,0,38,0,6,4,88,31,0,0,4,2,0,9,1,0,1,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,21,24,706
64,93年 12月,南投縣,177,48,2,3,1,19,18,2,0,0,17,0,4,7,0,0,2,0,9,0,10,7,76,29,1,0,1,1,0,6,8,0,3,1,0,0,0,0,0,1,0,0,76,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,13,14,19,585
66,94年 1月,南投縣,191,54,0,1,0,15,43,16,1,0,14,0,5,3,0,1,0,0,0,0,1,2,57,12,0,0,4,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,8,539
67,94年 2月,南投縣,172,44,0,7,0,6,3,3,2,0,5,0,3,2,0,1,1,0,2,0,3,1,64,18,2,0,0,2,1,4,1,0,0,1,0,0,0,0,0,1,0,0,71,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,10,7,450
68,94年 3月,南投縣,332,69,1,4,0,16,68,3,1,0,11,0,0,1,0,0,0,0,0,0,1,5,72,22,1,0,3,0,0,4,8,0,0,2,0,0,0,0,0,0,0,1,92,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,27,5,762
69,94年 4月,南投縣,258,76,1,1,1,14,44,4,1,0,9,3,2,6,0,1,0,0,3,0,4,2,101,14,1,0,6,1,3,3,13,0,3,3,0,0,0,0,0,0,0,2,89,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,20,5,700
70,94年 5月,南投縣,193,51,0,5,0,21,51,1,2,0,6,1,0,5,0,2,1,0,7,0,2,3,75,21,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,65,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,27,7,568
71,94年 6月,南投縣,212,67,0,1,1,24,15,1,4,0,11,1,2,1,0,0,0,0,3,0,3,5,82,13,1,0,5,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,10,563
72,94年 7月,南投縣,200,64,1,3,0,18,9,3,0,0,11,1,1,4,0,0,1,0,1,1,4,1,111,46,0,0,7,2,2,7,2,0,0,0,0,0,0,0,1,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,19,589
73,94年 8月,南投縣,202,79,1,2,1,13,5,12,1,0,11,1,4,2,1,0,3,0,1,0,8,2,100,22,0,0,2,2,1,4,3,0,0,1,0,0,0,0,0,0,0,0,73,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,2,21,588
74,94年 9月,南投縣,228,88,2,1,0,12,12,6,1,0,16,0,1,5,2,0,1,0,6,0,2,5,132,37,0,0,2,3,0,3,5,0,0,0,0,0,0,0,1,1,0,0,77,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,14,678
75,94年 10月,南投縣,208,79,1,2,0,11,23,7,4,0,14,1,0,4,0,0,1,0,0,0,2,6,89,19,0,0,2,0,0,8,8,0,2,6,0,0,0,0,1,1,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,13,599
76,94年 11月,南投縣,182,52,2,3,0,19,188,1,0,0,13,2,0,5,0,2,1,0,5,0,4,2,74,16,0,0,2,1,0,4,6,0,8,1,0,0,0,0,0,0,0,2,72,0,1,0,17,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,7,699
77,94年 12月,南投縣,148,40,2,3,0,23,27,3,1,0,11,2,0,2,0,0,0,0,4,0,2,3,121,15,0,0,4,2,0,1,6,0,0,0,0,0,0,0,1,1,0,5,95,0,1,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,587
79,95年 1月,南投縣,256,58,0,7,0,26,9,2,1,0,7,1,1,5,0,1,0,0,5,0,10,1,121,14,0,0,4,2,1,8,2,0,4,1,0,0,0,0,0,0,0,1,81,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,17,654
80,95年 2月,南投縣,192,45,4,48,0,13,18,3,2,1,9,0,1,4,0,3,0,0,10,0,3,1,97,11,0,0,2,2,0,3,7,0,0,3,0,0,1,0,3,1,0,0,89,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,25,609
81,95年 3月,南投縣,176,40,0,13,1,23,1,2,3,0,16,0,0,1,1,1,1,0,19,0,3,2,79,23,0,0,5,1,0,7,3,0,0,0,0,0,0,0,1,1,0,2,75,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,13,518
82,95年 4月,南投縣,188,49,0,3,0,17,38,2,0,0,14,0,2,0,0,2,1,0,2,0,1,5,138,23,0,0,4,3,0,2,13,0,0,1,0,0,1,0,1,1,0,3,85,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,2,14,622
83,95年 5月,南投縣,227,53,1,4,0,17,79,3,3,0,13,1,10,3,0,1,1,0,4,0,3,5,117,22,0,0,4,1,0,3,6,0,1,0,0,0,0,0,2,1,0,1,93,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,20,712
84,95年 6月,南投縣,232,53,0,2,0,18,41,4,1,0,15,1,4,1,0,0,1,0,4,0,3,1,83,11,0,0,4,2,1,5,3,0,7,6,0,1,0,0,0,1,0,1,76,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,21,644
85,95年 7月,南投縣,258,62,1,3,1,20,35,4,0,0,7,1,0,7,0,2,1,0,0,0,1,4,137,23,0,0,3,3,1,3,8,0,4,1,0,0,1,0,0,1,0,1,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,33,739
86,95年 8月,南投縣,389,59,2,6,0,22,86,5,0,0,6,0,1,4,0,0,1,0,15,0,8,3,143,19,0,0,1,4,1,2,8,0,10,0,0,0,0,0,0,4,0,4,129,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,2,24,972
87,95年 9月,南投縣,249,48,1,2,0,24,51,4,0,1,11,0,0,5,0,0,2,0,8,0,2,6,116,12,0,0,2,1,1,1,5,0,12,0,0,0,1,0,0,3,0,4,90,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,1,18,694
88,95年 10月,南投縣,165,27,1,3,0,16,45,1,0,0,13,0,3,3,0,0,0,0,2,0,5,1,112,19,0,0,5,2,2,2,1,0,24,1,0,0,1,0,2,3,0,0,91,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,32,592
89,95年 11月,南投縣,173,25,2,5,0,13,38,11,5,0,18,1,23,0,0,1,1,0,41,0,3,4,92,18,0,0,5,1,1,1,6,0,7,0,0,0,0,0,0,0,0,3,87,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,13,603
90,95年 12月,南投縣,146,30,1,3,1,14,17,5,1,0,7,1,0,3,0,2,0,0,2,0,2,2,67,9,0,0,2,2,0,0,3,0,1,7,0,0,0,0,0,2,0,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,18,449
92,96年 1月,南投縣,196,25,1,10,0,17,91,5,0,0,10,0,2,3,1,2,2,0,36,0,3,1,113,12,0,0,3,2,0,0,1,0,5,2,0,0,0,0,0,2,0,5,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,743
93,96年 2月,南投縣,190,34,3,43,0,10,55,3,0,0,7,2,0,8,0,1,3,0,2,0,3,1,114,22,0,0,0,0,1,9,3,0,1,0,0,0,0,0,0,0,0,0,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,663
94,96年 3月,南投縣,157,32,2,12,0,14,39,5,0,0,12,0,1,4,0,0,2,0,3,1,7,8,102,16,2,0,3,1,2,1,11,0,4,4,0,0,0,0,0,1,0,2,128,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,2,27,612
95,96年 4月,南投縣,211,59,0,4,0,19,26,4,1,0,12,0,3,0,0,0,1,0,1,0,6,5,109,20,0,0,4,2,0,1,3,0,2,1,0,0,0,0,1,3,0,0,121,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,3,2,24,656
96,96年 5月,南投縣,185,33,3,9,0,20,40,10,1,0,16,3,2,6,0,1,1,0,0,0,8,8,161,48,0,0,6,0,2,5,1,0,1,2,0,0,0,0,1,4,0,3,100,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,4,16,708
97,96年 6月,南投縣,191,27,1,5,0,18,11,6,3,0,17,2,2,2,0,2,0,0,35,0,4,3,95,26,0,0,6,2,0,1,0,0,0,1,0,0,0,0,0,6,0,7,91,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,12,584
98,96年 7月,南投縣,274,40,0,8,0,21,65,4,0,0,10,1,3,4,0,2,0,0,3,0,4,3,152,32,0,0,4,2,2,0,6,0,1,0,0,0,0,0,0,4,0,0,127,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,30,810
99,96年 8月,南投縣,215,40,1,18,1,20,89,10,2,0,12,0,0,3,0,2,5,0,5,0,8,5,146,80,0,0,5,2,0,0,3,0,3,3,1,0,0,0,0,5,0,8,86,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,33,818
100,96年 9月,南投縣,210,51,2,14,0,26,29,6,1,0,10,2,1,7,0,0,0,0,1,0,6,6,118,41,0,0,5,3,1,2,4,0,2,0,0,0,0,0,2,8,0,0,108,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,31,705
101,96年 10月,南投縣,220,49,1,5,1,32,30,7,3,0,11,1,3,3,0,0,2,0,4,0,3,2,117,46,0,0,1,2,0,1,3,0,2,1,0,0,0,0,1,4,0,1,87,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,18,667
102,96年 11月,南投縣,176,43,0,4,0,25,21,10,3,0,13,1,0,4,0,0,0,0,5,0,3,1,130,31,0,0,4,3,1,10,6,0,2,1,0,0,0,0,0,1,0,0,84,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,18,612
103,96年 12月,南投縣,254,49,2,1,0,20,43,9,0,0,11,0,0,5,0,1,0,0,13,0,3,4,105,32,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,96,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,15,680
