,year,locality,population
184,97,臺中縣,1557944.0
185,97,彰化縣,1312935.0
186,97,南投縣,531753.0
187,97,雲林縣,723674.0
188,97,嘉義縣,548731.0
189,97,臺南縣,1104552.0
190,97,高雄縣,1243412.0
191,97,屏東縣,884838.0
192,97,臺東縣,231849.0
193,97,花蓮縣,341433.0
194,97,澎湖縣,93308.0
195,97,基隆市,388979.0
196,97,新竹市,405371.0
197,97,臺中市,1066128.0
198,97,嘉義市,273793.0
199,97,臺南市,768453.0
200,97,臺北市,2622923.0
201,97,高雄市,1525642.0
202,97,金門縣,84570.0
203,97,連江縣,9755.0
204,96,臺北縣,3798015.0
205,96,宜蘭縣,460398.0
206,96,桃園縣,1934968.0
207,96,新竹縣,495821.0
208,96,苗栗縣,560163.0
209,96,臺中縣,1550896.0
210,96,彰化縣,1314354.0
211,96,南投縣,533717.0
212,96,雲林縣,725672.0
213,96,嘉義縣,551345.0
214,96,臺南縣,1105403.0
215,96,高雄縣,1244313.0
216,96,屏東縣,889563.0
217,96,臺東縣,233660.0
218,96,花蓮縣,343302.0
219,96,澎湖縣,92390.0
220,96,基隆市,390397.0
221,96,新竹市,399035.0
222,96,臺中市,1055898.0
223,96,嘉義市,273075.0
224,96,臺南市,764658.0
225,96,臺北市,2629269.0
226,96,高雄市,1520555.0
227,96,金門縣,81547.0
228,96,連江縣,9946.0
229,95,臺北縣,3767095.0
230,95,宜蘭縣,460426.0
231,95,桃園縣,1911161.0
232,95,新竹縣,487692.0
233,95,苗栗縣,559986.0
234,95,臺中縣,1543436.0
235,95,彰化縣,1315034.0
236,95,南投縣,535205.0
237,95,雲林縣,728490.0
238,95,嘉義縣,553841.0
239,95,臺南縣,1106690.0
240,95,高雄縣,1245474.0
241,95,屏東縣,893544.0
242,95,臺東縣,235957.0
243,95,花蓮縣,345303.0
244,95,澎湖縣,91785.0
245,95,基隆市,390633.0
246,95,新竹市,394757.0
247,95,臺中市,1044392.0
248,95,嘉義市,272364.0
249,95,臺南市,760037.0
250,95,臺北市,2632242.0
251,95,高雄市,1514706.0
252,95,金門縣,76491.0
253,95,連江縣,9786.0
254,94,臺北縣,3736677.0
255,94,宜蘭縣,461586.0
256,94,桃園縣,1880316.0
257,94,新竹縣,477677.0
258,94,苗栗縣,559944.0
259,94,臺中縣,1533442.0
260,94,彰化縣,1315826.0
261,94,南投縣,537168.0
262,94,雲林縣,733330.0
263,94,嘉義縣,557101.0
264,94,臺南縣,1106059.0
265,94,高雄縣,1242837.0
266,94,屏東縣,898300.0
267,94,臺東縣,238943.0
268,94,花蓮縣,347298.0
269,94,澎湖縣,92489.0
270,94,基隆市,391727.0
271,94,新竹市,390692.0
272,94,臺中市,1032778.0
273,94,嘉義市,271701.0
274,94,臺南市,756859.0
275,94,臺北市,2616375.0
276,94,高雄市,1510649.0
277,94,金門縣,70264.0
278,94,連江縣,10345.0
279,93,臺北縣,3708099.0
280,93,宜蘭縣,462286.0
281,93,桃園縣,1853029.0
282,93,新竹縣,467246.0
283,93,苗栗縣,560643.0
284,93,臺中縣,1527040.0
285,93,彰化縣,1316762.0
286,93,南投縣,538413.0
287,93,雲林縣,736772.0
288,93,嘉義縣,557903.0
289,93,臺南縣,1105674.0
290,93,高雄縣,1238925.0
291,93,屏東縣,900199.0
292,93,臺東縣,240373.0
293,93,花蓮縣,349149.0
294,93,澎湖縣,91808.0
295,93,基隆市,392337.0
296,93,新竹市,386950.0
297,93,臺中市,1021292.0
298,93,嘉義市,270341.0
299,93,臺南市,754917.0
300,93,臺北市,2622472.0
301,93,高雄市,1512677.0
302,93,金門縣,64456.0
303,93,連江縣,9359.0
304,92,臺北縣,3676533.0
305,92,宜蘭縣,463285.0
306,92,桃園縣,1822075.0
307,92,新竹縣,459287.0
308,92,苗栗縣,560903.0
